"subject","predicate","object","direction","evidence","sentence","article","network"
"HRAS","expressed in","KRAS","right","positive","Other potential activation events include the high expression of HRAS and KRAS; in particular the KRAS-amplicon signature(which has also been identified in a murine model of basal-like tumors) was highly expressed in 70% of the basal-like tumors and was shown to correlate with high expression of Cluster #2.","","Amazon Mech Turk Batch"
"HRAS","activation","KRAS","right","positive","Other potential activation events include the high expression of HRAS and KRAS; in particular the KRAS-amplicon signature(which has also been identified in a murine model of basal-like tumors) was highly expressed in 70% of the basal-like tumors and was shown to correlate with high expression of Cluster #2.","","Amazon Mech Turk Batch"
"ERK","inhibited by","DUSP5","left","positive","Using a quantitative phosphoproteomic data set we determined that K-RAS-mutant cells have decreased activation of ERK due to a depressed TNFα-induced release of autocrine transforming growth factor-α and that N-RAS-mutant cells do not induce DUSP5 as robustly as either wild-type or K-RAS-mutant cells resulting in sustained activation of ERK.","","Amazon Mech Turk Batch"
"ERK","inhibited by","DUSP5","left","positive","Using a quantitative phosphoproteomic data set we determined that K-RAS-mutant cells have decreased activation of ERK due to a depressed TNFα-induced release of autocrine transforming growth factor-α and that N-RAS-mutant cells do not induce DUSP5 as robustly as either wild-type or K-RAS-mutant cells resulting in sustained activation of ERK.","","Amazon Mech Turk Batch"
"PHLDA1","activates","ERK","right","positive","Microarray analysis identified the PHLDA1 gene as being dramatically up-regulated in RasV12- and Ras EDM-infected cells to levels that correlated with the level of ERK activation and the extent of anchorage-independent growth(Additional file).","","Amazon Mech Turk Batch"
"ERK","inhibited by","DUSP6","left","positive","Reduced ERK phosphorylation may result due to ATRA induced transcriptional activation of DUSP6 and RGS16.","","Amazon Mech Turk Batch"
"ERK1","inhibited by","DUSP6","left","positive","Dusp6 dephosphorylates and inactivates Erk1/2 thus creating a negative feedback loop with Erk1/2()( and references therein).","","Amazon Mech Turk Batch"
"HRAS","activated by","FISH","left","positive","FISH increased cd36(CD36 antigen) and decreased camk2b(calcium/calmodulin-dependent protein kinase II beta)(via INS1); decreased fgfr3(fibroblast growth factor receptor 3)(via INS1 target STAT3); and decreased slc30a3(solute carrier family 30)(via INS1 target hRAS).","","Amazon Mech Turk Batch"
"LIF","activation","ERK","right","positive","Fibroblasts exhibited a prominent LIF response and a several-fold higher activation of ERK relative to STAT3 by IL-6 cytokines(Fig. bottom panel) in contrast to normal epithelial cells.","","Amazon Mech Turk Batch"
"ERK1","causes","EPHA2","right","positive","(AB) Arg721Gln mutation causes an increased basal activation of EPHA2 kinase which was correlated with dramatically reduced basal ERK1/2 activities.","","Amazon Mech Turk Batch"
"ERK1","activation","EPHA2","right","positive","(AB) Arg721Gln mutation causes an increased basal activation of EPHA2 kinase which was correlated with dramatically reduced basal ERK1/2 activities.","","Amazon Mech Turk Batch"
"ERK1","activation by","EGR1","left","positive","EGR1 is a transcription factor strongly activated by a broad spectrum of radiation and promoting apoptosis and growth arrest through its targets especially some members of the p53 families and via activation of the EGFR/ERK1/2 pathway[].","","Amazon Mech Turk Batch"
"HRAS","likely increased translation of","EGFR","right","positive","At the same time HRAS over-expression resulted in selection of a shorter 3' UTR which removes known miRNA binding sites present in the ALong UTR and likely increased translation of EGFR mRNAs[].","","Amazon Mech Turk Batch"
"HRAS","inhibited by","GEF","left","positive","HRAS is subsequently released from the GEF and quickly re-binds to the now available GTP resulting in HRAS activation.","","Amazon Mech Turk Batch"
"HRAS","activated by","GTP","left","positive","HRAS is subsequently released from the GEF and quickly re-binds to the now available GTP resulting in HRAS activation.","","Amazon Mech Turk Batch"
"CDKN2A","deletion","HRAS","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","Amazon Mech Turk Batch"
"CDKN2A","immortalization","HRAS","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","Amazon Mech Turk Batch"
"MYC","immortalization","HRAS","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","Amazon Mech Turk Batch"
"HRAS","activation","PIK3CA","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","First Network,Amazon Mech Turk Batch"
"HRAS","activation","PIK3CA","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","First Network,Amazon Mech Turk Batch"
"HRAS","activation","PIK3CA","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","First Network,Amazon Mech Turk Batch"
"HRAS","transformation","PIK3CA","right","positive","These genetic changes include CDKN2A deletion and MYC amplification in immortalization HRAS activation in transformation PIK3CA activation in the formation of malignant tumors and RUNX1 deletion associated with poorly-differentiated malignant tumors.","","Amazon Mech Turk Batch"
"ERK","result in","JUNB","right","positive","In anergic T cells dysregulated Ras function and deficient activation of the mitogen-activated protein kinases ERK JNK and p38 can be expected to result in only a limited induction of JunB protein during antigen stimulation.","","Amazon Mech Turk Batch"
"JNK","result in","JUNB","right","positive","In anergic T cells dysregulated Ras function and deficient activation of the mitogen-activated protein kinases ERK JNK and p38 can be expected to result in only a limited induction of JunB protein during antigen stimulation.","","Amazon Mech Turk Batch"
"p38","result in","JUNB","right","positive","In anergic T cells dysregulated Ras function and deficient activation of the mitogen-activated protein kinases ERK JNK and p38 can be expected to result in only a limited induction of JunB protein during antigen stimulation.","","Amazon Mech Turk Batch"
"P38","result in","JUNB","right","positive","In anergic T cells dysregulated Ras function and deficient activation of the mitogen-activated protein kinases ERK JNK and p38 can be expected to result in only a limited induction of JunB protein during antigen stimulation.","","Amazon Mech Turk Batch"
"RUNX1","phosphorylation","ERK","right","positive","Phosphorylation of RUNX1 by the ERK-dependent pathway releases RUNX1 from mSin3A and nuclear matrix and this is accompanied with enhanced transcriptional activity.","","Amazon Mech Turk Batch"
"RUNX1","dependent","RUNX1","right","positive","Phosphorylation of RUNX1 by the ERK-dependent pathway releases RUNX1 from mSin3A and nuclear matrix and this is accompanied with enhanced transcriptional activity.","","Amazon Mech Turk Batch"
"RUNX1","releases","RUNX1","right","positive","Phosphorylation of RUNX1 by the ERK-dependent pathway releases RUNX1 from mSin3A and nuclear matrix and this is accompanied with enhanced transcriptional activity.","","Amazon Mech Turk Batch"
"DUSP6","is dependent on","ERK","right","positive","Our results thus far implicate a member or members of the Ets group of transcription factors in mediating ERK-dependent DUSP6/MKP-3 transcription in response to FGFs.","","Amazon Mech Turk Batch"
"ERK","signaling in conjunction with stimulation by","LIF","left","positive","This is a pre-pluripotent (pre-iPS) condition, however, and the final transition is efficiently induced by blockade of Erk signaling in conjunction with stimulation by LIF. ","DOI:10.1371/journal.pbio.0060253,PubMed:18942890,PubMed Central:2570424,Other:plbi-06-10-07,Other:08-PLBI-RA-2877","Pubmed Open-Access Full Texts,Amazon Mech Turk Batch"
"ERK","signaling in conjunction with stimulation by","LIF","left","positive","This is a pre-pluripotent (pre-iPS) condition, however, and the final transition is efficiently induced by blockade of Erk signaling in conjunction with stimulation by LIF. ","DOI:10.1371/journal.pbio.0060253,PubMed:18942890,PubMed Central:2570424,Other:plbi-06-10-07,Other:08-PLBI-RA-2877","Pubmed Open-Access Full Texts,Amazon Mech Turk Batch"
"ERK","activation up-regulates","LDLR","right","positive","ERK activation which is known to up-regulate LDLR expression is required for A. phagocytophilum infection","","Amazon Mech Turk Batch"
"ERK","stimulation of","EGR1","right","positive","Taken together these data indicate that ERK and MSK are recruited to the c-fos and egr1 promoters following mitogen stimulation of HeLa cells.","","Amazon Mech Turk Batch"
"HRAS","has an interaction with","CS","right","positive","It is not surprising that a mutation in the HRAS gene associated with CS has an increased incidence of tumors since these mutations are identical to the human tumor associated mutations.","","Amazon Mech Turk Batch"
"ERK","activates","IL8","right","positive","It was previously demonstrated that the Afa/Dr DAEC strain C1845 is an entero-adherent pro-inflammatory E. coli that activates the extracellular regulated kinase/mitogen-activated protein kinases(Erk/MAP kinase) signaling pathway in human intestinal T84 cell monolayers promoting interleukin 8(IL8) secretion and the transepithelial migration of polymorphonuclear neutrophils(PMNs) a feature of chronic inflammation.","","Amazon Mech Turk Batch"
"ERK","up-regulation of","LDLR","right","positive","To determine whether ERK activation is involved in up-regulation of LDLR upon A. phagocytophilum infection we examined the LDLR mRNA levels in U0126-pretreated HL-60 cells by real-time RT-PCR.","","Amazon Mech Turk Batch"
"ERK","activation by","MYD88","left","positive","We then removed MyD88 in silico by shutting down the TLR4→MyD88 reaction(Reaction 1 in supplementary) and simulated delayed and impaired activation of p38 ERK JNK NF-κB Tnf and Socs3(supplementary and) which matches experimental observations with MyD88-deficient macrophages upto 60 min( and).","","Amazon Mech Turk Batch"
"ERK","activated by","LYN","left","positive","IgE sensitization alone) of FcεRI activation include the activation of Lyn and Syk leading to the activation of ERK in mast cells.","","Amazon Mech Turk Batch"
"EGR1","components of","ERK","right","positive","Activated ERK phosphorylates phospholipase A2[] and as a result stimulates transcription of the c-fos and EGR1 genes two components of our ERK signature[].","","Amazon Mech Turk Batch"
"ERK","induction","DUSP6","right","positive","Although the experiments described above indicate that ERK signalling is essential for FGF-mediated induction of DUSP6/MKP-3 we wished to know whether activation of ERK alone is sufficient to trigger expression of this gene.","","Amazon Mech Turk Batch"
"HRAS","regulates","CDC42","right","positive","The PPIs predicted to be potentially druggable are highly varied with respect to their biological function and cellular location: membrane receptor/signaling adapter(CD247/SHC1) and calmodulin/ion channel(CALM1/KCNN2 and CALM1/RYR1) located on membrane GTPases/their regulators(CDC42/ARHGDIA HRAS/RALGDS etc) and kinase/its regulator(GSK3B/AXIN1) in cytoplasm and histone acetyltransferases/transcriptional regulators(CREBBP/HIF1A CREBBP/IRF3 EP300/HIF1A etc) and transcription factors/their regulators(MAX/MYC S100B/TP53 TP53/TP53BP1 etc) in the nucleus(Table and Additional file : Table S3).","","Amazon Mech Turk Batch"
"TRIB1","decreased","ERK","right","positive","Thus reduction of TRIB1 expression by olive oil phenols could promote decreased ERK activation.","","Amazon Mech Turk Batch"
"PI3","activator of","AKT","right","positive","We treated peripheral blood monocytes with pharmacological inhibitors targeting PI3 kinase the upstream activator of Akt(LY294002) mTOR a signaling molecule downstream of Akt(Rapamycin) JNK(SP600125) p38(SB203580) or ERK(U0126) and stimulated these cells with M-CSF.","","Amazon Mech Turk Batch"
"ERK","activated by","IL8","left","positive","Of interest is the persistent activation of IL8 and LIF by 6.3- and 12.6-fold respectively( marked with red circles) because these two are secreted proteins that may serve as markers for ERK activation.","","Amazon Mech Turk Batch"
"ERK","activated by","LIF","left","positive","Of interest is the persistent activation of IL8 and LIF by 6.3- and 12.6-fold respectively( marked with red circles) because these two are secreted proteins that may serve as markers for ERK activation.","","Amazon Mech Turk Batch"
"FGFR2","activates","p38","right","positive","These results indicate that the Fgfr2 +/P253R mutation contributes to the activation of p38 and ERK1/2 pathways in the skull.","","Amazon Mech Turk Batch"
"FGFR2","activates","P38","right","positive","These results indicate that the Fgfr2 +/P253R mutation contributes to the activation of p38 and ERK1/2 pathways in the skull.","","Amazon Mech Turk Batch"
"FGFR2","activates","ERK1","right","positive","These results indicate that the Fgfr2 +/P253R mutation contributes to the activation of p38 and ERK1/2 pathways in the skull.","","Amazon Mech Turk Batch"
"ERK1","activation","LIF","right","positive","LIF induced activation of phosphorylation of ERK1/2(versus the control cells P <.01) and ERK1/2 activation was inhibited by PD-98059(the cells stimulated with LIF in the presence of PD-98059 versus the cells stimulated with LIF P <.01) but not by AG-490(the cells stimulated with LIF in the presence of AG-490 versus the cells stimulated with LIF P >.05)().","","Amazon Mech Turk Batch"
"ERK","bind to","DUSP6","right","positive","ERK-responsive transcription factors Ets1 and Ets2 bind to the endogenous DUSP6/MKP-3 gene promoter","","Amazon Mech Turk Batch"
"ERK1","activation","JUNB","right","positive","These results demonstrate that the Erk1/2 and p38 pathways are not only responsible for DCA-induced Fra-1 and JunB activation but also for induction of COX-2 protein expression.","","Amazon Mech Turk Batch"
"ERK","release of","CXCL1","right","positive","The inhibition of p38 MAPK attenuates the release of CXCL1 and CXCL6 induced by IL-17 while blocking the ERK signaling does not display any substantial effect on the release of these chemokines[].","","Amazon Mech Turk Batch"
"ERK","inhibition","CXCL1","right","positive","The inhibition of p38 MAPK attenuates the release of CXCL1 and CXCL6 induced by IL-17 while blocking the ERK signaling does not display any substantial effect on the release of these chemokines[].","","Amazon Mech Turk Batch"
"DUSP6","inactivates","ERK","right","positive","Others were identified as antagonists of the MAPK/p53 apoptotic pathways: RND3 a pro-survival p53 target gene that inhibits ROCK I-mediated apoptosis in response to stress and participates to neurite extension[]; CSDE1 which decreases p53/GADD45g/caspase3 transcription[]; DDB1 a pro-survival p53 target involved in protein degradation[]; DUSP6 a MAPK phosphatase which inactivates ERK[]; YWHAZ which supports cell survival by antagonizing apoptotic proteins and has a neuroprotective role as p38 MAPK inhibitor; as well as CAMK4 a key protein involved in oxidative stress which promotes neuronal survival and inhibits apoptosis[].","","Amazon Mech Turk Batch"
"STAT3","signaled by","LIF","right","positive","These cell lines responded to IL-6 cytokines like normal epithelial cells but showed a detectable STAT3 signaling by LIF and a ~2-fold higher ERK activation by OSM and IL-6.","","Amazon Mech Turk Batch"
"ERK","dependent of","PI3","right","positive","Downstream of PI3-kinase both protein kinase B/Akt and ERK/MAP kinase signalling pathways have been shown to be activated in a dose-dependent manner within minutes following adenovirus infection.","","Amazon Mech Turk Batch"
"ERK","inhibition","PIM1","right","positive","S7 shows that the expression of a dominant-negative PIM1 mutant decreases surface CXCR4 expression and that the inhibition of PIM affects CXCL12-induced ERK phosphorylation.","","Amazon Mech Turk Batch"
"ERK","induces","DUSP6","right","positive","The best-fit model incorporated ultrasensitive activation of ERK in response to RAS activation ERK induction of DUSP6 and not DUSP1 and feedback from DUSP6 against phosphorylated ERK.","","Amazon Mech Turk Batch"
"HRAS","activation of","KRAS","right","positive","The experimental HRAS gene set is narrowly defined for genes perturbed by HRAS activation and does not capture KRAS mutation specificity.","","Amazon Mech Turk Batch"
"EEF1A2","alters the expression of","FOS","right","positive","Among the genes with significantly altered expression in Eef1a2 RNAi cells() were those involved in tumor invasion(Tgfbr2 Mmp13 Itgal) proliferation(Pik3cg Fosb Fos Mapk1 Flt3 Wnt1 Cdk6 Ccnd2) survival(Ifi202b Tnfsf13b Bcl2 Bcl2l1) and cytokine and interferon signaling(Jak2 Stat1 Stat2 Stat3 Irf2 Irf8 Socs3).","","Amazon Mech Turk Batch"
"HRAS","regulates","EGFR","right","positive","HRAS over-expression results in isoform specific EGFR mRNA regulation","","Amazon Mech Turk Batch"
"PIK3CD","activated","AKAP2","right","positive","Taken together, it was suggested that PTTG1 regulates and/or is regulated by many different growth factors such as IGF-I, EGF, TGF?, and bFGF, which are involved in pathways such as PI3K, mitogen-activated protein kinase (MAPK), and angiogenesis.","","First Network"
"PIK3CD","activated","AKAP2","right","positive","Taken together, it was suggested that PTTG1 regulates and/or is regulated by many different growth factors such as IGF-I, EGF, TGF?, and bFGF, which are involved in pathways such as PI3K, mitogen-activated protein kinase (MAPK), and angiogenesis.","","First Network"
"PIK3CD","activated","AKAP2","right","positive","Taken together, it was suggested that PTTG1 regulates and/or is regulated by many different growth factors such as IGF-I, EGF, TGF?, and bFGF, which are involved in pathways such as PI3K, mitogen-activated protein kinase (MAPK), and angiogenesis.","","First Network"
"PIK3CD","activated","AKAP2","right","positive","Taken together, it was suggested that PTTG1 regulates and/or is regulated by many different growth factors such as IGF-I, EGF, TGF?, and bFGF, which are involved in pathways such as PI3K, mitogen-activated protein kinase (MAPK), and angiogenesis.","","First Network"
"PIK3CD","activated","AKAP2","right","positive","Taken together, it was suggested that PTTG1 regulates and/or is regulated by many different growth factors such as IGF-I, EGF, TGF?, and bFGF, which are involved in pathways such as PI3K, mitogen-activated protein kinase (MAPK), and angiogenesis.","","First Network"
"MOGS","involved in","EREG","right","positive","Among them were TVP23 and YIP5 which both localize to the late Golgi, YEL048C which is synthetic lethal with GCS1 (involved in ER to Golgi transport), APM2 (homologous to medium chain of mammalian clathrin-associated protein complex involved in vesicle transport) and SWH1 (similar to mammalian oxysterol-binding protein, localized to Golgi and nucleus-vacuole junction).","","First Network"
"SLC3A2","binds","IL8","right","positive","ABXIL-8 (Abgenix Inc, Fremont, CA), a human anti-IL-8 monoclonal antibody, binds free IL-8 and may deactivate it in the skin.","","First Network"
"LIF","dependent","STS","right","positive","We show that after fusion of human lymphocytes to mouse ES cells (that are Lif and Bmp dependent), human ES-like cells are generated that express FGF signalling components (and are not dependent of Lif/Bmp).","","First Network"
"APOA1","controlled","ABCA1","right","positive","Current models suggest that the cholesterol efflux to apoA-I is fully controlled by ABCA1; however, in Abca12el12/el12 cells there was no ABC-dependent efflux to apoA-I despite the animals having functional Abca1.","","First Network"
"AHR","mediated by","EREG","left","positive","This estrogenic activation by AhR ligands is mediated by a ternary complex (ER-?, AhR, and Arnt) in MCF-7 cells (Ohtake et al. 2003).","","First Network"
"AHR","activate","EREG","right","positive","Altogether, our results indicate that river sediment estrogenic activity is mediated by a) low-affinity estrogens that bind only ERs, b) most AhR ligands that activate ER-mediated expression through AhR, and c) a minority of AhR ligands that activate both ERs and AhR.","","First Network"
"CXCL1","interaction","CXCR2","right","positive","Based on these findings, we performed proof of principle studies in vivo using an antibody-mediated neutralization strategy to evaluate the direct role for CXCL1 and CXCL2/3 ligands and their interaction with CXCR2 during the pathogenesis of dsRNA-induced lung injury.","","First Network"
"ELOVL2","associated with","TIMP1","right","positive","In addition, there were four SNPs (rs953413, rs1570069, rs3798719, rs7744440) in the ELOVL2 gene were associated with EPA with p values ranging from 9.51�10?5 to 1.10�10?6 (Figure S3).","","First Network"
"EREG","contains","PDXP","right","positive","The green is most likely to be ER that contains PLP adjacent to mitochondria, the yellow component is most likely to be the OMM and/or IMM containing PLP, and the red staining is a portion of a mitochondrium that lacks PLP.","","First Network"
"NAMPT","involved in","IL8","right","positive","These results indicate that PBEF is also involved in IL-8 expression and secretion in TNF? induced conditions in primary human lung small airway epithelial cells.","","First Network"
"NAMPT","involved in","IL8","right","positive","These results indicate that PBEF is also involved in IL-8 expression and secretion in TNF? induced conditions in primary human lung small airway epithelial cells.","","First Network"
"JUN","activation","IL8","right","positive","The anti-oxidants NAC and DMSO had no effect on HA fragment induced AP-1 activation and IL-8 expression in alveolar epithelial cells.","","First Network"
"JUN","activation","IL8","right","positive","The anti-oxidants NAC and DMSO had no effect on HA fragment induced AP-1 activation and IL-8 expression in alveolar epithelial cells.","","First Network"
"JUN","activation","IL8","right","positive","The anti-oxidants NAC and DMSO had no effect on HA fragment induced AP-1 activation and IL-8 expression in alveolar epithelial cells.","","First Network"
"IL8","modulation","MAPK8","right","positive","Our results showed that POMx significantly inhibited the inflammatory stimuli-induced excessive production of IL-6 and IL-8 via modulation of the JNK- and ERK-MAPKs and NF-?B-dependent pathways.","","First Network"
"RABEPK","component of","IL23A","right","positive","Alternatively, it is also possible that this represents production of IL-23 since p40 is also a component of IL-23.","","First Network"
"VEGFA","response to","INS","right","positive","This is consistent with other studies indicating adipocytes have VEGF secretion capabilities in response to neurohumoral factors such as insulin but that non-adipocytes are the main secretors of VEGF, our studies support the conclusion that both cell types contributes to VEGF secretion.","","First Network"
"MYD88","activation","IK","right","positive","Zymosan is recognized by immune cells through Toll-like receptors 2 and 6 (TLR2, TLR6) that trigger the MyD88-mediated NF-kB activation and cytokine production.","","First Network"
"IL8","development of","INS","right","positive","However, little evidence is available to describe the role of IL-8 in adipocytes, obesity, and the development of insulin resistance.","","First Network"
"IL8","activated","EPHB2","right","positive","The IL-8 per se also activated the phosphorylation of ERK and p38 MAPK (data not shown).","","First Network"
"IL8","inhibits","INS","right","positive","Those data suggest that IL-8 inhibits the insulin signal pathway via the ERK pathway and p38 MAP kinase pathway.","","First Network"
"ERN1","response to","EREG","right","positive","Alternatively, the rapid degradation of a subset of ER-localised mRNAs catalysed by IRE1 in response to increased ER stress has been reported and future work will address this relationship in these mouse lines.","","First Network"
"WDR26","mediated by","PI3","left","positive","These results suggest that Hcy induced expression of MIP-2 in MC was mediated by p38MAPK and PI-3 K signalling pathways and are consistent with the results derived from Western blotting analysis.","","First Network"
"MEFV","involved in","NFIB","right","positive","One pyrin protein, belonging to a larger class of the pyrin domain family, is involved in the Nuclear Factor-kappa B (NF-kB) cell-signaling pathway.","","First Network"
"ALB","release of","IL8","right","positive","While albumin enhanced the release of IL-8 and its gene expression, it did not affect the early increase in the inflammatory response as judged by increases in expression of HIF1? or NF?B1.","","First Network"
"Alb","release of","IL8","right","positive","While albumin enhanced the release of IL-8 and its gene expression, it did not affect the early increase in the inflammatory response as judged by increases in expression of HIF1? or NF?B1.","","First Network"
"CCNA1","restricts","CDK2","right","positive","However, in the case of cyclin A�cdk2 crystals, the cyclin A restricts movement of the cdk2 and soaking in this system is a valid approach.","","First Network"
"SCARF1","stimulation","VEGFA","right","positive","Sirolimus exhibits antiangiogenic activity related to impaired production of VEGF and limiting proliferative response of endothelial cells to stimulation by VEGF, limiting the progression of KS.","","First Network"
"SCARF1","stimulation","VEGFA","right","positive","Sirolimus exhibits antiangiogenic activity related to impaired production of VEGF and limiting proliferative response of endothelial cells to stimulation by VEGF, limiting the progression of KS.","","First Network"
"SCARF1","stimulation","VEGFA","right","positive","Sirolimus exhibits antiangiogenic activity related to impaired production of VEGF and limiting proliferative response of endothelial cells to stimulation by VEGF, limiting the progression of KS.","","First Network"
"VANGL2","associates with","ZNF143","right","positive","The Stb1 protein also associates with SBF and MBF and regulates their activity.","","First Network"
"PL-5283","binds to","PNMA2","right","positive","The weak band at 70 kDa is similar in size to the protein FOS, which binds to the 40 kDa JUN protein to form the AP-1 transcription factor.","","First Network"
"TDGF1","associated with","IL8","right","positive","Cr was positively associated with IL-8 release in NHBE cells incubated with fine and ultrafine fractions but not the coarse fraction (Figure 8).","","First Network"
"BMP2","inhibited by","NOG","left","positive","BMP2 is also inhibited by NOG, which indicates that this amino acid change seems to have an effect on the receptor specificity only, but otherwise it is well tolerated by the BMP antagonist NOG.","","First Network"
"CLS","inhibits","CD55","right","positive","For example, chloramphenicol succinate (CLS) inhibits DAF-mediated MRHA at similar levels to CLM (Nowicki et al., 1988 ?), although the stability of CLS to hydrolysis has not been characterized and the molecule is likely to be quickly metabolized to CLM in vivo.","","First Network"
"CD55","inhibition","LAMB1","right","positive","This raises two possible mechanisms for DAF inhibition by CLM: either the small molecule disturbs the binding site indirectly and pre�vents rigid-body association or it�prevents the conformational equilibrium of DraE from being pulled towards the DAF-bound state.","","First Network"
"HRAS","found in","NOL3","right","positive","It is of interest that, although the incidence is low, both H- and K-Ras activation mutations were found in K14-cre; ApcCKO/+ mammary tumors, since K-Ras mutations were frequently found in Myc-induced mammary tumors but not H-Ras and vice versa in MMTV-Wnt1 tumors.","","First Network"
"HRAS","found in","KRT14","right","positive","It is of interest that although their presence was mutually exclusive to each other, both H-Ras and K-Ras oncogenic mutations were found in a subset K14-cre;ApcCKO/+ tumors.","","First Network"
