"","subject","predicate","object","direction","evidence","sentence","article","network"
"23773","RUVBL2","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"25817","SRRM2","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"34154","STX1A","interacts with","TPI1","right","positive","","","Pathway Commons"
"4610","PPP1R15A","functional_interaction","TGFBR1","right","positive","","","Functional Interaction"
"36622","CDC45","interacts with","CDCP1","right","positive","","","Pathway Commons"
"3068","HNRNPA3","functional_interaction","TIA1","right","positive","","","Functional Interaction"
"35764","LYN","state change","STAT1","right","positive","","","Pathway Commons"
"15135","CSNK1E","interacts with","YES1","right","positive","","","Pathway Commons"
"18967","LIME1","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"1838","DCTN1","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"16988","NOLC1","interacts with","KPNB1","right","positive","","","Pathway Commons"
"23432","S100A7","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"27676","TOP1","interacts with","RUVBL1","right","positive","","","Pathway Commons"
"36880","MXD1","in same component","HDAC2","right","positive","","","Pathway Commons"
"34222","MAP3K11","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"26311","PLA2G12B","interacts with","DDX17","right","positive","","","Pathway Commons"
"33411","SEPT7","interacts with","MDH1","right","positive","","","Pathway Commons"
"3598","INPP1","functional_interaction","INPPL1","right","positive","","","Functional Interaction"
"21294","RIN1","interacts with","KLF5","right","positive","","","Pathway Commons"
"31442","WNT16","interacts with","BCL6","right","positive","","","Pathway Commons"
"27702","TOP1","interacts with","SPTLC1","right","positive","","","Pathway Commons"
"3634","IRS4","functional_interaction","PIK3CD","right","positive","","","Functional Interaction"
"4422","PFDN4","functional_interaction","TUBA4A","right","positive","","","Functional Interaction"
"34543","SYT7","interacts with","PLXNA2","right","positive","","","Pathway Commons"
"35065","TPM1","interacts with","GRIN2A","right","positive","","","Pathway Commons"
"19146","PNMA2","interacts with","IGLL1","right","positive","","","Pathway Commons"
"33400","SEPT5","interacts with","PRNP","right","positive","","","Pathway Commons"
"14098","KIAA0802","interacts with","DYNC1LI1","right","positive","","","Pathway Commons"
"37626","CCL5","interacts with","IL8","right","positive","","","Pathway Commons"
"10963","H2AFX","interacts with","TOP1","right","positive","","","Pathway Commons"
"855","CCNL1","functional_interaction","SIRT2","right","positive","","","Functional Interaction"
"8918","EPHB2","interacts with","EFNB1","right","positive","","","Pathway Commons"
"37471","CENPJ","reacts with","CSNK1E","right","positive","","","Pathway Commons"
"33021","DNAJC6","interacts with","BAIAP2","right","positive","","","Pathway Commons"
"8244","DNAJB6","interacts with","TSC22D1","right","positive","","","Pathway Commons"
"1520","CSNK1D","functional_interaction","TUBA1A","right","positive","","","Functional Interaction"
"18617","ACOX3","interacts with","LYN","right","positive","","","Pathway Commons"
"1823","CXCR4","functional_interaction","SDC4","right","positive","","","Functional Interaction"
"28914","TUBA4A","reacts with","PCM1","right","positive","","","Pathway Commons"
"187","ADRB2","functional_interaction","GNG10","right","positive","","","Functional Interaction"
"13822","ITGA2","interacts with","DDB1","right","positive","","","Pathway Commons"
"38039","KLF5","induced by","ET","left","positive","The increase in expression of Klf5 induced by ET-1 was inhibited by cycloheximide (B), so the principal factors promoting its expression must be newly-synthesized proteins, and the response was inhibited by U0126 (A), implicating ERK1/2 signalling in the response. ","PubMed Central:2396231,PubMed:18406357,DOI:10.1016/j.bbamcr.2008.03.007,Other:BBAMCR15819","Pubmed Open-Access Full Texts"
"16349","GRIA1","interacts with","STX1A","right","positive","","","Pathway Commons"
"5786","CIRBP","interacts with","PRNP","right","positive","","","Pathway Commons"
"31681","MRPS26","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"28803","TUBA4A","interacts with","BACH2","right","positive","","","Pathway Commons"
"16215","GLTP","interacts with","BASP1","right","positive","","","Pathway Commons"
"8220","DLL1","in same component","NOTCH1","right","positive","","","Pathway Commons"
"4119","MCL1","functional_interaction","STAT3","right","positive","","","Functional Interaction"
"23069","SFN","interacts with","FAM53B","right","positive","","","Pathway Commons"
"15247","CSNK1E","reacts with","TSGA14","right","positive","","","Pathway Commons"
"30134","PRNP","interacts with","SEPT2","right","positive","","","Pathway Commons"
"2124","EGR1","functional_interaction","IFNG","right","positive","","","Functional Interaction"
"2791","FOSL1","functional_interaction","JUND","right","positive","","","Functional Interaction"
"3184","HRAS","functional_interaction","IL2RG","right","positive","","","Functional Interaction"
"8468","EPHA2","interacts with","TXN","right","positive","","","Pathway Commons"
"13610","IL12RB1","reacts with","IL23A","right","positive","","","Pathway Commons"
"12796","JUN","co control","FOS","right","positive","","","Pathway Commons"
"7337","DDX17","interacts with","RANBP2","right","positive","","","Pathway Commons"
"27305","TNRC6A","interacts with","IGF2BP1","right","positive","","","Pathway Commons"
"33095","ATP1B1","interacts with","PRNP","right","positive","","","Pathway Commons"
"29971","PRNP","interacts with","NIPSNAP1","right","positive","","","Pathway Commons"
"28755","TUBA4A","interacts with","UBR2","right","positive","","","Pathway Commons"
"28816","TUBA4A","interacts with","ZRANB2","right","positive","","","Pathway Commons"
"26767","TIAM1","in same component","EFNB1","right","positive","","","Pathway Commons"
"35137","TPM1","interacts with","UQCRC2","right","positive","","","Pathway Commons"
"20454","MDH1","interacts with","RPL26","right","positive","","","Pathway Commons"
"7483","SDHA","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"38017","LIF","expression by","HCG","left","positive","Moreover, transfection of pcDNA6.2-GW/EmGFP-PROK1-72 or PROK1-287 into PROKR1 Ishikawa cells significantly inhibited hCG-mediated LIF expression at 18 h (<0.05), suggesting that regulation of LIF expression by hCG is mediatedthe expression of PROK1. ","Other:08-124495,PubMed:19255255,PubMed Central:2704594,DOI:10.1096/fj.08-124495","Pubmed Open-Access Full Texts"
"19152","PNMA2","interacts with","KPNA1","right","positive","","","Pathway Commons"
"29507","PLXNA2","interacts with","STX1A","right","positive","","","Pathway Commons"
"16955","NOLC1","interacts with","HNRNPF","right","positive","","","Pathway Commons"
"38362","LSD","did not induce","FOS","right","negative","Double-labeled immunohistochemistry revealed that LSD did not induce Fos-like immunoreactivity in cortical cells expressing 5-HT(2A) receptors, suggesting an indirect activation of cortical neurons. ","PubMed:12220572","Medline Abstracts"
"12741","EEF1D","interacts with","HK2","right","positive","","","Pathway Commons"
"30915","TYK2","metabolic catalysis","IL1B","right","positive","","","Pathway Commons"
"10041","FOS","reacts with","CREM","right","positive","","","Pathway Commons"
"18269","CAMK2B","interacts with","PRNP","right","positive","","","Pathway Commons"
"10733","HDAC9","interacts with","LPAR2","right","positive","","","Pathway Commons"
"32160","BCL6","interacts with","HDAC5","right","positive","","","Pathway Commons"
"23489","POLR2L","reacts with","HNRNPH1","right","positive","","","Pathway Commons"
"16930","NOLC1","interacts with","DNAJB12","right","positive","","","Pathway Commons"
"23408","RPS27","interacts with","KIAA0802","right","positive","","","Pathway Commons"
"14608","PFKFB3","interacts with","MCL1","right","positive","","","Pathway Commons"
"3294","HRAS","functional_interaction","SOCS3","right","positive","","","Functional Interaction"
"28303","TUBA4A","interacts with","HTATSF1","right","positive","","","Pathway Commons"
"13093","ITPR3","interacts with","KRT74","right","positive","","","Pathway Commons"
"2817","FRS2","functional_interaction","PIK3CD","right","positive","","","Functional Interaction"
"12469","HIST1H1E","interacts with","PRSS1","right","positive","","","Pathway Commons"
"812","CCNA1","functional_interaction","CDK3","right","positive","","","Functional Interaction"
"15129","CSNK1E","interacts with","TAOK1","right","positive","","","Pathway Commons"
"25141","SSBP1","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"12340","HIST1H1E","interacts with","LRRC59","right","positive","","","Pathway Commons"
"6310","HK2","interacts with","RPS14","right","positive","","","Pathway Commons"
"1274","COL3A1","functional_interaction","SDC1","right","positive","","","Functional Interaction"
"13208","ITPR3","interacts with","SERPINH1","right","positive","","","Pathway Commons"
"7707","CSNK2B","interacts with","NOLC1","right","positive","","","Pathway Commons"
"18121","CSNK1E","interacts with","SEPT4","right","positive","","","Pathway Commons"
"14642","LIMK2","interacts with","SRRM2","right","positive","","","Pathway Commons"
"18328","OTUD4","interacts with","TNRC6B","right","positive","","","Pathway Commons"
"23376","SDC2","reacts with","SDC1","right","positive","","","Pathway Commons"
"34546","SYT7","interacts with","STX1A","right","positive","","","Pathway Commons"
"15025","CSNK1E","interacts with","LIMK2","right","positive","","","Pathway Commons"
"5407","BCKDK","interacts with","HK2","right","positive","","","Pathway Commons"
"21868","PTGDS","interacts with","HK2","right","positive","","","Pathway Commons"
"30981","RAB3D","interacts with","PTPRE","right","positive","","","Pathway Commons"
"21332","HRAS","interacts with","RGL4","right","positive","","","Pathway Commons"
"2014","E2F1","functional_interaction","FOS","right","positive","","","Functional Interaction"
"3674","ITGA2","functional_interaction","PXN","right","positive","","","Functional Interaction"
"13258","ITPR3","interacts with","TRPC5","right","positive","","","Pathway Commons"
"29774","PRNP","interacts with","DDX3X","right","positive","","","Pathway Commons"
"38047","IL-13","reduced","ADRB2","right","positive","Since cells treated with IL-13 failed to respond to β2-agonists, we determined if IL-13 reduced ADRB2 expression, rendering drug resistance. ","PubMed:20470412,DOI:10.1186/1471-2466-10-30,PubMed Central:2881900,Other:1471-2466-10-30","Pubmed Open-Access Full Texts"
"7959","ERBB4","interacts with","TGFA","right","positive","","","Pathway Commons"
"35588","LYN","interacts with","PTK6","right","positive","","","Pathway Commons"
"10316","G3BP2","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"15414","LEO1","interacts with","NOLC1","right","positive","","","Pathway Commons"
"31203","RAB13","interacts with","HK2","right","positive","","","Pathway Commons"
"13995","KRT13","interacts with","FN1","right","positive","","","Pathway Commons"
"15208","CSNK1E","reacts with","PAFAH1B1","right","positive","","","Pathway Commons"
"2883","GNAI1","functional_interaction","PPBP","right","positive","","","Functional Interaction"
"36298","MAP7D1","interacts with","SUN2","right","positive","","","Pathway Commons"
"14691","PRKCQ","interacts with","FAM83A","right","positive","","","Pathway Commons"
"2685","FOS","functional_interaction","IRF1","right","positive","","","Functional Interaction"
"35338","TPM3","interacts with","TPM1","right","positive","","","Pathway Commons"
"33124","ATP5C1","interacts with","HK2","right","positive","","","Pathway Commons"
"36865","CBL","interacts with","EPHA2","right","positive","","","Pathway Commons"
"1089","COL12A1","functional_interaction","COL6A1","right","positive","","","Functional Interaction"
"24155","NF1","interacts with","DDX17","right","positive","","","Pathway Commons"
"21004","ARHGAP17","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"20988","ALPK3","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"4236","MYH8","functional_interaction","TPM1","right","positive","","","Functional Interaction"
"28266","TUBA4A","interacts with","HIST1H2BH","right","positive","","","Pathway Commons"
"12445","HIST1H1E","interacts with","SKIV2L2","right","positive","","","Pathway Commons"
"30667","PRSS3","interacts with","PPBP","right","positive","","","Pathway Commons"
"37035","CD3G","metabolic catalysis","FOS","right","positive","","","Pathway Commons"
"28433","TUBA4A","interacts with","PRPF6","right","positive","","","Pathway Commons"
"29160","PLXNA2","interacts with","EEF2","right","positive","","","Pathway Commons"
"26186","ACTN1","interacts with","PRNP","right","positive","","","Pathway Commons"
"2167","EGR1","functional_interaction","THBS1","right","positive","","","Functional Interaction"
"33324","SEPT2","interacts with","PRNP","right","positive","","","Pathway Commons"
"24632","SPTAN1","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"15920","CSNK1D","reacts with","CEP110","right","positive","","","Pathway Commons"
"14491","FIBP","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"35474","LYN","interacts with","GP6","right","positive","","","Pathway Commons"
"34567","TUBB4","interacts with","GLTP","right","positive","","","Pathway Commons"
"19611","PIAS1","interacts with","SMAD1","right","positive","","","Pathway Commons"
"33355","SDC4","interacts with","NF1","right","positive","","","Pathway Commons"
"29549","PLXNA2","interacts with","VDAC1","right","positive","","","Pathway Commons"
"1570","CSNK1E","functional_interaction","FBXW11","right","positive","","","Functional Interaction"
"3471","IL1B","functional_interaction","PIK3CA","right","positive","","","Functional Interaction"
"38870","NM","activated","FOS","right","positive","Injection of SarMet-SP at doses of 1 nM activated Fos selectively in neurons of lamina I. ","PubMed:15694925","Medline Abstracts"
"23764","SEPT5","reacts with","STX1A","right","positive","","","Pathway Commons"
"2624","FN1","functional_interaction","PTPN1","right","positive","","","Functional Interaction"
"25537","TSC22D1","interacts with","KRT6A","right","positive","","","Pathway Commons"
"10552","DDX17","interacts with","LONP1","right","positive","","","Pathway Commons"
"32414","BTAF1","interacts with","NAV3","right","positive","","","Pathway Commons"
"30571","RRP9","interacts with","SNRPE","right","positive","","","Pathway Commons"
"4679","RASA1","functional_interaction","SPRY4","right","positive","","","Functional Interaction"
"14756","KLF5","interacts with","CCT6A","right","positive","","","Pathway Commons"
"13483","IRAK1","reacts with","MYD88","right","positive","","","Pathway Commons"
"20457","MDH1","interacts with","RPS21","right","positive","","","Pathway Commons"
"25908","SRRM2","interacts with","CAD","right","positive","","","Pathway Commons"
"17004","NOLC1","interacts with","LEO1","right","positive","","","Pathway Commons"
"4057","LYN","functional_interaction","SOS1","right","positive","","","Functional Interaction"
"32683","DNAJC6","interacts with","PRKCE","right","positive","","","Pathway Commons"
"25186","NAPA","in same component","STX1A","right","positive","","","Pathway Commons"
"26736","TUBB","reacts with","CSNK1D","right","positive","","","Pathway Commons"
"8920","EPHB2","interacts with","FAM83A","right","positive","","","Pathway Commons"
"17461","NDRG1","interacts with","RPN2","right","positive","","","Pathway Commons"
"6543","HNRNPH1","interacts with","ERO1L","right","positive","","","Pathway Commons"
"4375","OXSR1","functional_interaction","PAK1","right","positive","","","Functional Interaction"
"18160","CSNK1E","interacts with","MAPT","right","positive","","","Pathway Commons"
"5506","BSG","interacts with","PRNP","right","positive","","","Pathway Commons"
"15269","LPAR2","interacts with","GRLF1","right","positive","","","Pathway Commons"
"29106","PLXNA2","interacts with","DLG3","right","positive","","","Pathway Commons"
"731","cblB","functional_interaction","IL13RA2","right","positive","","","Functional Interaction"
"26684","TNK1","interacts with","FAM83A","right","positive","","","Pathway Commons"
"34164","STX1A","interacts with","WASF1","right","positive","","","Pathway Commons"
"2154","EGR1","functional_interaction","PTEN","right","positive","","","Functional Interaction"
"27234","TNRC6B","interacts with","TUBB2C","right","positive","","","Pathway Commons"
"11195","CXCL1","interacts with","MMP9","right","positive","","","Pathway Commons"
"28894","TUBA4A","reacts with","DYNC1H1","right","positive","","","Pathway Commons"
"27902","TCF7L2","reacts with","SKP1","right","positive","","","Pathway Commons"
"579","BRAF","functional_interaction","SFN","right","positive","","","Functional Interaction"
"2145","EGR1","functional_interaction","PDGFB","right","positive","","","Functional Interaction"
"26403","ACTN2","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"25395","SOCS1","interacts with","EPHA1","right","positive","","","Pathway Commons"
"7340","DDX17","interacts with","HNRNPA1","right","positive","","","Pathway Commons"
"17962","CSNK1E","interacts with","YWHAQ","right","positive","","","Pathway Commons"
"4849","SMARCE1","functional_interaction","TCF7L2","right","positive","","","Functional Interaction"
"36971","CASP2","in same component","MAP3K5","right","positive","","","Pathway Commons"
"14586","GABBR1","interacts with","STX1A","right","positive","","","Pathway Commons"
"11732","HNRNPH1","interacts with","MYH10","right","positive","","","Pathway Commons"
"23333","SHC1","interacts with","ITPR3","right","positive","","","Pathway Commons"
"15230","CSNK1E","reacts with","TUBB","right","positive","","","Pathway Commons"
"8399","EPHA2","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"2223","EPHA1","functional_interaction","LYN","right","positive","","","Functional Interaction"
"1408","CREB1","functional_interaction","TIMP1","right","positive","","","Functional Interaction"
"28175","TUBA4A","interacts with","CPNE1","right","positive","","","Pathway Commons"
"15157","CSNK1E","interacts with","MAP2K2","right","positive","","","Pathway Commons"
"4506","PIK3CD","functional_interaction","RASAL2","right","positive","","","Functional Interaction"
"11067","HNRPLL","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"15636","CSNK1G1","state change","SERPINB2","right","positive","","","Pathway Commons"
"27937","TGFB2","interacts with","APP","right","positive","","","Pathway Commons"
"24444","SKP2","interacts with","COPS8","right","positive","","","Pathway Commons"
"32443","BMPR1A","interacts with","LYN","right","positive","","","Pathway Commons"
"15090","CSNK1E","interacts with","CAD","right","positive","","","Pathway Commons"
"31881","ASH2L","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"21818","rpL7a","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"9409","FN1","reacts with","ITGB3","right","positive","","","Pathway Commons"
"11758","HNRNPH1","interacts with","ACACA","right","positive","","","Pathway Commons"
"23289","S100A11","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"2307","ESR1","functional_interaction","NFIB","right","positive","","","Functional Interaction"
"38609","JUNB","up-regulates","P16","right","positive","Constitutive expression of JunB up-regulates p16(INK4a) and increases the sensitivity of mouse fibroblasts to drug-induced-senescence. ","PubMed:16966326","Medline Abstracts"
"10002","FOS","interacts with","ZNF652","right","positive","","","Pathway Commons"
"14397","ITGB1","state change","VEGFA","right","positive","","","Pathway Commons"
"388","ARRB2","functional_interaction","CSNK1E","right","positive","","","Functional Interaction"
"30329","HDLBP","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"9039","CIT","interacts with","DNAJC6","right","positive","","","Pathway Commons"
"37522","CCNA1","interacts with","VPS18","right","positive","","","Pathway Commons"
"9064","HADH","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"37223","TSGA14","in same component","TUBA4A","right","positive","","","Pathway Commons"
"12973","KIAA0528","interacts with","BRAF","right","positive","","","Pathway Commons"
"26979","TPM1","interacts with","NPM1","right","positive","","","Pathway Commons"
"26068","SRRM2","interacts with","BCLAF1","right","positive","","","Pathway Commons"
"7770","CLTB","interacts with","TPM1","right","positive","","","Pathway Commons"
"16694","NPM1","interacts with","ITPR3","right","positive","","","Pathway Commons"
"24617","STAT3","interacts with","EPHA2","right","positive","","","Pathway Commons"
"24955","SMURF2","interacts with","EEF1G","right","positive","","","Pathway Commons"
"33440","SLC4A10","interacts with","CSNK1E","right","positive","","","Pathway Commons"
"35729","LYN","reacts with","GP6","right","positive","","","Pathway Commons"
"13291","ITPR3","interacts with","CD59","right","positive","","","Pathway Commons"
"8991","COPS8","interacts with","HK2","right","positive","","","Pathway Commons"
"1336","COL6A1","functional_interaction","SDC1","right","positive","","","Functional Interaction"
"8339","EIF3J","interacts with","CSNK1D","right","positive","","","Pathway Commons"
"2226","EPHA2","functional_interaction","GRB2","right","positive","","","Functional Interaction"
"23404","MRPS27","interacts with","HIST1H1E","right","positive","","","Pathway Commons"
"16600","NRD1","interacts with","HBEGF","right","positive","","","Pathway Commons"
"20114","MDH1","interacts with","PRDX1","right","positive","","","Pathway Commons"
"14575","FKBP9","interacts with","HNRNPH1","right","positive","","","Pathway Commons"
"32083","ASCL2","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"9279","FN1","interacts with","KRT16","right","positive","","","Pathway Commons"
"24427","STXBP1","reacts with","STX1A","right","positive","","","Pathway Commons"
"34781","MOGS","interacts with","TUBA4A","right","positive","","","Pathway Commons"
"15282","LPAR2","interacts with","SLC9A3R1","right","positive","","","Pathway Commons"
"3199","HRAS","functional_interaction","KRAS","right","positive","","","Functional Interaction"
"14663","SLC9A3R2","in same component","LPAR2","right","positive","","","Pathway Commons"
"13310","ITGA1","state change","VEGFA","right","positive","","","Pathway Commons"
"21835","PTHLH","interacts with","PLK1","right","positive","","","Pathway Commons"
"25771","SRRM2","interacts with","JAK1","right","positive","","","Pathway Commons"
"3725","ITGB4","functional_interaction","PIK3CD","right","positive","","","Functional Interaction"
"17276","NOLC1","interacts with","LRP11","right","positive","","","Pathway Commons"
"16534","NOP2","interacts with","NOLC1","right","positive","","","Pathway Commons"
"11312","TUBGCP4","reacts with","CSNK1E","right","positive","","","Pathway Commons"
"25686","SRRM2","interacts with","CUL5","right","positive","","","Pathway Commons"
"17878","CSNK1E","interacts with","MIC1","right","positive","","","Pathway Commons"
"9753","FLNB","interacts with","SFRS13A","right","positive","","","Pathway Commons"
"31807","BMP2","reacts with","BMPR2","right","positive","","","Pathway Commons"
"24326","STX1A","in same component","SNAP25","right","positive","","","Pathway Commons"
"8873","DSC1","interacts with","SERPINB5","right","positive","","","Pathway Commons"
"8051","EFNB1","interacts with","KRT5","right","positive","","","Pathway Commons"
"2821","FRS3","functional_interaction","PIK3CD","right","positive","","","Functional Interaction"
